AHL,24.35000038,24.35000038,17.94257545,24.35000038,24.35000038,200,21/07/2004
PEZ,24.79999924,24.42000008,23.388237,24.42000008,24.79999924,800,01/09/2011
GHDX,20.29999924,20.30999947,20.30999947,19.90999985,20.40999985,79100,04/12/2009
RAVN,15.48499966,14.625,9.857466698,14.49499989,15.48499966,322400,30/09/2005
RAVN,32.36000061,33.02000046,29.6595974,32.36000061,33.25,79200,02/05/2013
RRC,2.083329916,2,1.903757691,2,2.083329916,271200,29/06/2000
EGHT,0.9375,0.781199992,0.781199992,0.75,0.9375,197900,30/03/2001
RAVN,0.5,0.5,0.000868857,0.5,0.5,80000,29/06/1987
PEY,17.23999977,17.30999947,16.96933365,17.23999977,17.37000084,139900,16/03/2018
OXLC,19.5,18.80999947,5.503108501,18.80999947,19.5,2100,14/04/2011
RAVN,16.35000038,16.18000031,15.40407562,16.13999939,16.37000084,131700,08/03/2016
GTN,12.80000019,12.75,10.27671814,12.75,12.85999966,53000,13/06/2003
MHD,17.25,17.40999985,14.28162003,17.25,17.40999985,13200,07/04/2015
AAPL,28.74285698,28.87142944,19.40158081,28.68714333,28.91142845,86381400,23/12/2009
GHDX,32.11999893,32.54000092,32.54000092,32.11999893,32.68000031,113200,11/10/2017
VIAV,14.97155857,14.10693932,14.10693932,14.06143379,15.06257153,6217500,07/04/2003
CLWT,21.45000076,21.88999939,21.88999939,21.22999954,23.10000038,81200,31/10/2007
RAVN,1.28125,1.28125,0.350366205,1.260416627,1.291666627,68000,05/09/2000
CCNE,6.099999905,6.099999905,1.639778495,6.099999905,6.099999905,2500,08/02/1996
AMSWA,4.3125,4.343699932,2.051192045,4.218699932,4.343699932,84100,05/06/2000
EGHT,21,21.64999962,21.64999962,20.89999962,21.72999954,1818500,12/07/2018
CCNE,5.800000191,6.050000191,2.508355379,5.800000191,6.050000191,15500,28/12/2000
AMSWA,5.625,5.875,2.774305582,5.625,5.875,50100,22/10/1996
GTS,17.19000053,17.02000046,17.02000046,16.87000084,17.19000053,76900,13/03/2017
